iso,ms,ev,dist,rssi,off,rtt,seq,golat
2026-09-22T12:49:19.261Z,1790081359260.0,ping,0,0,-1790081214054.496,10.00,,
2026-09-22T12:49:19.511Z,1790081359510.0,ping,0,0,-1790081214054.496,8.00,,
2026-09-22T12:49:19.768Z,1790081359768.0,ping,0,0,-1790081214054.496,14.00,,
2026-09-22T12:49:20.013Z,1790081360012.0,ping,0,0,-1790081214054.496,6.00,,
2026-09-22T12:49:20.267Z,1790081360266.0,ping,0,0,-1790081214054.496,8.00,,
2026-09-22T12:49:20.518Z,1790081360517.0,ping,0,0,-1790081214054.496,7.00,,
2026-09-22T12:49:20.770Z,1790081360769.0,ping,0,0,-1790081214054.496,7.00,,
2026-09-22T12:49:21.022Z,1790081361021.0,ping,0,0,-1790081214054.496,7.00,,
2026-09-22T12:49:21.026Z,1790081361025.0,go,0,0,-1790081214054.496,,29,6.44
2026-09-22T12:49:23.060Z,1790081363059.0,ping,0,0,-1790081214054.496,1793.00,,
2026-09-22T12:49:23.061Z,1790081363060.0,ping,0,0,-1790081214054.496,1542.00,,
2026-09-22T12:49:23.065Z,1790081363065.0,ping,0,0,-1790081214054.496,1296.00,,
2026-09-22T12:49:23.068Z,1790081363067.0,ping,0,0,-1790081214054.496,1045.00,,
2026-09-22T12:49:23.069Z,1790081363068.0,ping,0,0,-1790081214054.496,794.00,,
2026-09-22T12:49:23.069Z,1790081363068.0,ping,0,0,-1790081214054.496,542.00,,
2026-09-22T12:49:23.069Z,1790081363068.0,ping,0,0,-1790081214054.496,290.00,,
2026-09-22T12:49:23.069Z,1790081363069.0,ping,0,0,-1790081214054.496,39.00,,
2026-09-22T12:49:23.291Z,1790081363291.0,ping,0,0,-1790081214054.496,9.00,,
2026-09-22T12:49:23.543Z,1790081363542.0,ping,0,0,-1790081214054.496,8.00,,
2026-09-22T12:49:23.794Z,1790081363793.0,ping,0,0,-1790081214054.496,7.00,,
2026-09-22T12:49:24.111Z,1790081364110.0,ping,0,0,-1790081214054.554,72.00,,
2026-09-22T12:49:24.300Z,1790081364300.0,ping,0,0,-1790081214054.554,10.00,,
2026-09-22T12:49:24.561Z,1790081364560.0,ping,0,0,-1790081214054.554,18.00,,
2026-09-22T12:49:24.804Z,1790081364803.0,ping,0,0,-1790081214054.554,9.00,,
2026-09-22T12:49:25.188Z,1790081365188.0,ping,0,0,-1790081214054.554,141.00,,
2026-09-22T12:49:25.308Z,1790081365307.0,ping,0,0,-1790081214054.554,9.00,,
2026-09-22T12:49:25.579Z,1790081365579.0,ping,0,0,-1790081214054.554,29.00,,
2026-09-22T12:49:25.810Z,1790081365810.0,ping,0,0,-1790081214054.554,8.00,,
2026-09-22T12:49:26.026Z,1790081366025.0,go,0,0,-1790081214054.554,,30,5.90
2026-09-22T12:49:28.033Z,1790081368033.0,ping,0,0,-1790081214054.554,1980.00,,
2026-09-22T12:49:28.042Z,1790081368041.0,ping,0,0,-1790081214054.554,1735.00,,
2026-09-22T12:49:28.045Z,1790081368044.0,ping,0,0,-1790081214054.554,1486.00,,
2026-09-22T12:49:28.045Z,1790081368045.0,ping,0,0,-1790081214054.554,1235.00,,
2026-09-22T12:49:28.047Z,1790081368046.0,ping,0,0,-1790081214054.554,984.00,,
2026-09-22T12:49:28.047Z,1790081368047.0,ping,0,0,-1790081214054.554,733.00,,
2026-09-22T12:49:28.049Z,1790081368048.0,ping,0,0,-1790081214054.554,482.00,,
2026-09-22T12:49:28.097Z,1790081368096.0,ping,0,0,-1790081214054.554,278.00,,
2026-09-22T12:49:28.101Z,1790081368100.0,ping,0,0,-1790081214054.554,31.00,,
2026-09-22T12:49:28.341Z,1790081368341.0,ping,0,0,-1790081214054.554,19.00,,
2026-09-22T12:49:28.582Z,1790081368582.0,ping,0,0,-1790081214054.554,8.00,,
2026-09-22T12:49:28.906Z,1790081368906.0,ping,0,0,-1790081214054.554,80.00,,
2026-09-22T12:49:29.091Z,1790081369091.0,ping,0,0,-1790081214054.554,13.00,,
2026-09-22T12:49:29.353Z,1790081369353.0,ping,0,0,-1790081214054.554,23.00,,
2026-09-22T12:49:29.599Z,1790081369598.0,ping,0,0,-1790081214054.554,16.00,,
2026-09-22T12:49:29.841Z,1790081369841.0,ping,0,0,-1790081214054.554,6.00,,
2026-09-22T12:49:30.097Z,1790081370097.0,ping,0,0,-1790081214054.554,11.00,,
2026-09-22T12:49:30.400Z,1790081370399.0,ping,0,0,-1790081214054.554,61.00,,
2026-09-22T12:49:30.676Z,1790081370675.0,ping,0,0,-1790081214054.554,85.00,,
2026-09-22T12:49:30.854Z,1790081370853.0,ping,0,0,-1790081214054.554,12.00,,
2026-09-22T12:49:31.108Z,1790081371107.0,go,0,0,-1790081214054.554,,31,86.97
2026-09-22T12:49:33.032Z,1790081373031.0,ping,0,0,-1790081214053.993,1937.00,,
2026-09-22T12:49:33.036Z,1790081373036.0,ping,0,0,-1790081214053.993,1689.00,,
2026-09-22T12:49:33.039Z,1790081373038.0,ping,0,0,-1790081214053.993,1441.00,,
2026-09-22T12:49:33.041Z,1790081373040.0,ping,0,0,-1790081214053.993,1190.00,,
2026-09-22T12:49:33.054Z,1790081373054.0,ping,0,0,-1790081214053.993,952.00,,
2026-09-22T12:49:33.057Z,1790081373056.0,ping,0,0,-1790081214053.993,702.00,,
2026-09-22T12:49:33.057Z,1790081373056.0,ping,0,0,-1790081214053.993,450.00,,
2026-09-22T12:49:33.058Z,1790081373058.0,ping,0,0,-1790081214053.993,200.00,,
2026-09-22T12:49:33.116Z,1790081373116.0,ping,0,0,-1790081214053.993,6.00,,
2026-09-22T12:49:33.369Z,1790081373368.0,ping,0,0,-1790081214053.993,6.00,,
2026-09-22T12:49:33.621Z,1790081373620.0,ping,0,0,-1790081214053.993,6.00,,
2026-09-22T12:49:33.890Z,1790081373889.0,ping,0,0,-1790081214053.993,23.00,,
2026-09-22T12:49:34.124Z,1790081374123.0,ping,0,0,-1790081214053.993,6.00,,
2026-09-22T12:49:34.385Z,1790081374384.0,ping,0,0,-1790081214053.993,14.00,,
2026-09-22T12:49:34.629Z,1790081374628.0,ping,0,0,-1790081214053.993,6.00,,
2026-09-22T12:49:34.897Z,1790081374896.0,ping,0,0,-1790081214053.993,22.00,,
2026-09-22T12:49:35.144Z,1790081375144.0,ping,0,0,-1790081214053.983,18.00,,
2026-09-22T12:49:35.410Z,1790081375410.0,ping,0,0,-1790081214053.983,32.00,,
2026-09-22T12:49:35.645Z,1790081375644.0,ping,0,0,-1790081214053.983,15.00,,
2026-09-22T12:49:35.918Z,1790081375917.0,ping,0,0,-1790081214053.983,35.00,,
2026-09-22T12:49:36.032Z,1790081376031.0,go,0,0,-1790081214053.983,,32,12.54
2026-09-22T12:49:38.031Z,1790081378030.0,ping,0,0,-1790081214053.983,1896.00,,
2026-09-22T12:49:38.035Z,1790081378035.0,ping,0,0,-1790081214053.983,1649.00,,
2026-09-22T12:49:38.038Z,1790081378037.0,ping,0,0,-1790081214053.983,1399.00,,
2026-09-22T12:49:38.040Z,1790081378040.0,ping,0,0,-1790081214053.983,1148.00,,
2026-09-22T12:49:38.067Z,1790081378066.0,ping,0,0,-1790081214053.983,924.00,,
2026-09-22T12:49:38.069Z,1790081378068.0,ping,0,0,-1790081214053.983,674.00,,
2026-09-22T12:49:38.069Z,1790081378069.0,ping,0,0,-1790081214053.983,423.00,,
2026-09-22T12:49:38.071Z,1790081378071.0,ping,0,0,-1790081214053.983,172.00,,
2026-09-22T12:49:38.200Z,1790081378199.0,ping,0,0,-1790081214053.983,45.00,,
2026-09-22T12:49:38.413Z,1790081378412.0,ping,0,0,-1790081214053.983,7.00,,
2026-09-22T12:49:38.689Z,1790081378689.0,ping,0,0,-1790081214053.983,31.00,,
2026-09-22T12:49:38.917Z,1790081378916.0,ping,0,0,-1790081214053.983,6.00,,
2026-09-22T12:49:39.197Z,1790081379197.0,ping,0,0,-1790081214053.983,35.00,,
2026-09-22T12:49:39.428Z,1790081379427.0,ping,0,0,-1790081214053.983,13.00,,
2026-09-22T12:49:39.705Z,1790081379705.0,ping,0,0,-1790081214053.983,39.00,,
2026-09-22T12:49:39.930Z,1790081379929.0,ping,0,0,-1790081214053.983,12.00,,
2026-09-22T12:49:40.177Z,1790081380177.0,ping,0,0,-1790081214053.983,7.00,,
2026-09-22T12:49:40.431Z,1790081380430.0,ping,0,0,-1790081214053.983,8.00,,
2026-09-22T12:49:40.683Z,1790081380683.0,ping,0,0,-1790081214053.983,10.00,,
2026-09-22T12:49:40.940Z,1790081380939.0,ping,0,0,-1790081214053.983,13.00,,
2026-09-22T12:49:41.025Z,1790081381024.0,go,0,0,-1790081214053.983,,33,5.54
2026-09-22T12:49:43.168Z,1790081383167.0,ping,0,0,-1790081214053.983,1989.00,,
2026-09-22T12:49:43.236Z,1790081383236.0,ping,0,0,-1790081214053.983,1805.00,,
2026-09-22T12:49:43.240Z,1790081383240.0,ping,0,0,-1790081214053.983,1557.00,,
2026-09-22T12:49:43.241Z,1790081383240.0,ping,0,0,-1790081214053.983,1307.00,,
2026-09-22T12:49:43.241Z,1790081383240.0,ping,0,0,-1790081214053.983,1055.00,,
2026-09-22T12:49:43.241Z,1790081383241.0,ping,0,0,-1790081214053.983,803.00,,
2026-09-22T12:49:43.244Z,1790081383244.0,ping,0,0,-1790081214053.983,554.00,,
2026-09-22T12:49:43.252Z,1790081383251.0,ping,0,0,-1790081214053.983,309.00,,
2026-09-22T12:49:43.254Z,1790081383253.0,ping,0,0,-1790081214053.983,59.00,,
2026-09-22T12:49:43.427Z,1790081383426.0,mark,10,0,-1790081214053.983,,,
2026-09-22T12:49:43.473Z,1790081383472.0,ping,10,0,-1790081214053.983,27.00,,
2026-09-22T12:49:43.721Z,1790081383720.0,ping,10,0,-1790081214053.983,23.00,,
2026-09-22T12:49:44.118Z,1790081384117.0,ping,10,0,-1790081214053.983,168.00,,
2026-09-22T12:49:44.331Z,1790081384331.0,ping,10,0,-1790081214053.983,129.00,,
2026-09-22T12:49:44.462Z,1790081384462.0,ping,10,0,-1790081214053.983,9.00,,
2026-09-22T12:49:47.225Z,1790081387224.0,ping,10,0,-1790081214053.983,2518.00,,
2026-09-22T12:49:47.228Z,1790081387227.0,ping,10,0,-1790081214054.460,2269.00,,
2026-09-22T12:49:47.229Z,1790081387228.0,ping,10,0,-1790081214054.460,2018.00,,
2026-09-22T12:49:47.229Z,1790081387228.0,ping,10,0,-1790081214054.460,1766.00,,
2026-09-22T12:49:47.230Z,1790081387229.0,go,10,0,-1790081214054.460,,34,1210.06
2026-09-22T12:49:49.089Z,1790081389088.0,mark,20,0,-1790081214054.460,,,
2026-09-22T12:49:55.619Z,1790081395618.0,mark,30,0,-1790081214054.460,,,
2026-09-22T12:50:01.901Z,1790081401901.0,mark,40,0,-1790081214054.460,,,
2026-09-22T12:50:09.589Z,1790081409588.0,ping,40,0,-1790081214054.460,23874.00,,
2026-09-22T12:50:09.614Z,1790081409613.0,go,40,0,-1790081214054.460,,35,11568.60
