# accel_live capture
# started_utc: 2026-09-07T14:03:54.026026+00:00
# source: /dev/cu.usbmodem101
# odr_hz_nominal: 1660
# accel_range_g: 16
# full ODR, undecimated - captured via the board's on-device
# RAM buffer and dumped after stop, not streamed live.
# t_s is relative to the first sample of this recording;
# t_us is the board's raw micros() reading for that sample.
# host_iso is host arrival time, for cross-reference only.
t_s,t_us,x_g,y_g,z_g,host_iso
0.089394,2661762416,-0.0264,-0.0307,1.0180,2026-09-07T14:03:59.161341+00:00
0.090415,2661763437,-0.0005,-0.0815,0.9980,2026-09-07T14:03:59.164160+00:00
0.091437,2661764459,-0.0171,-0.0942,1.0253,2026-09-07T14:03:59.166191+00:00
0.092458,2661765480,-0.0356,-0.0595,0.9672,2026-09-07T14:03:59.168779+00:00
0.093480,2661766502,-0.1103,-0.0630,0.8838,2026-09-07T14:03:59.173427+00:00
0.094501,2661767523,-0.1054,0.0283,0.8418,2026-09-07T14:03:59.173436+00:00
0.095523,2661768545,-0.1215,0.0044,0.8901,2026-09-07T14:03:59.175668+00:00
0.096549,2661769571,-0.0834,0.0337,0.9023,2026-09-07T14:03:59.177883+00:00
0.097625,2661770647,-0.0542,0.1288,1.1029,2026-09-07T14:03:59.182439+00:00
0.098648,2661771670,-0.0415,0.1327,1.1448,2026-09-07T14:03:59.182686+00:00
0.099671,2661772693,0.0059,0.1088,1.2019,2026-09-07T14:03:59.184973+00:00
0.100693,2661773715,0.0088,0.0181,1.1292,2026-09-07T14:03:59.187411+00:00
0.101714,2661774736,0.0468,-0.2147,1.1907,2026-09-07T14:03:59.190299+00:00
0.102738,2661775760,0.0747,-0.1796,1.0228,2026-09-07T14:03:59.192287+00:00
0.103760,2661776782,0.0600,-0.1908,1.0282,2026-09-07T14:03:59.194445+00:00
0.104783,2661777805,0.0415,-0.1693,1.0448,2026-09-07T14:03:59.196824+00:00
0.105810,2661778832,0.0063,-0.0224,0.9877,2026-09-07T14:03:59.199042+00:00
0.106832,2661779854,-0.0132,-0.0878,1.0121,2026-09-07T14:03:59.201518+00:00
0.107854,2661780876,-0.0259,-0.0869,0.8750,2026-09-07T14:03:59.203994+00:00
0.108882,2661781904,-0.0415,-0.0307,0.9155,2026-09-07T14:03:59.206400+00:00
0.109923,2661782945,-0.0493,-0.0107,0.8833,2026-09-07T14:03:59.208902+00:00
