# accel_live capture
# started_utc: 2026-09-03T12:33:00.953876+00:00
# source: /dev/cu.usbmodem101
# odr_hz_nominal: 416
# accel_range_g: 8
# t_s is relative to the first sample of this recording;
# t_us is the board's raw micros() reading for that sample.
# host_iso is host arrival time, for cross-reference only.
t_s,t_us,x_g,y_g,z_g,host_iso
0.934464,173199833,0.0239,-0.0351,1.0150,2026-09-03T12:33:01.895264+00:00
0.938730,173204099,0.0237,-0.0356,1.0175,2026-09-03T12:33:01.900115+00:00
0.943034,173208403,0.0246,-0.0356,1.0175,2026-09-03T12:33:01.903977+00:00
0.947407,173212776,0.0261,-0.0356,1.0189,2026-09-03T12:33:01.908249+00:00
0.951687,173217056,0.0256,-0.0349,1.0180,2026-09-03T12:33:01.912632+00:00
0.956043,173221412,0.0256,-0.0356,1.0172,2026-09-03T12:33:01.916884+00:00
0.960297,173225666,0.0261,-0.0346,1.0177,2026-09-03T12:33:01.921259+00:00
0.964634,173230003,0.0264,-0.0337,1.0163,2026-09-03T12:33:01.925612+00:00
0.968970,173234339,0.0244,-0.0351,1.0180,2026-09-03T12:33:01.929969+00:00
0.973331,173238700,0.0237,-0.0342,1.0175,2026-09-03T12:33:01.934312+00:00
0.977631,173243000,0.0237,-0.0339,1.0170,2026-09-03T12:33:01.938698+00:00
0.981963,173247332,0.0254,-0.0356,1.0155,2026-09-03T12:33:01.943047+00:00
0.986317,173251686,0.0237,-0.0346,1.0172,2026-09-03T12:33:01.947290+00:00
0.990536,173255905,0.0261,-0.0359,1.0185,2026-09-03T12:33:01.951545+00:00
0.994818,173260187,0.0259,-0.0344,1.0180,2026-09-03T12:33:01.955949+00:00
0.999163,173264532,0.0246,-0.0356,1.0167,2026-09-03T12:33:01.960223+00:00
1.003444,173268813,0.0249,-0.0344,1.0185,2026-09-03T12:33:01.964509+00:00
1.007746,173273115,0.0249,-0.0364,1.0150,2026-09-03T12:33:01.968862+00:00
1.012052,173277421,0.0244,-0.0361,1.0189,2026-09-03T12:33:01.973099+00:00
1.016371,173281740,0.0264,-0.0361,1.0155,2026-09-03T12:33:01.977473+00:00
1.020672,173286041,0.0244,-0.0344,1.0167,2026-09-03T12:33:01.981861+00:00
1.024861,173290230,0.0229,-0.0351,1.0155,2026-09-03T12:33:01.986056+00:00
1.029125,173294494,0.0234,-0.0337,1.0163,2026-09-03T12:33:01.990348+00:00
1.033399,173298768,0.0229,-0.0368,1.0160,2026-09-03T12:33:01.994727+00:00
1.037754,173303123,0.0237,-0.0364,1.0192,2026-09-03T12:33:01.999031+00:00
1.042039,173307408,0.0237,-0.0354,1.0187,2026-09-03T12:33:02.003342+00:00
1.046340,173311709,0.0244,-0.0342,1.0172,2026-09-03T12:33:02.007721+00:00
1.050688,173316057,0.0239,-0.0361,1.0180,2026-09-03T12:33:02.012034+00:00
1.054977,173320346,0.0254,-0.0342,1.0165,2026-09-03T12:33:02.016308+00:00
1.059246,173324615,0.0239,-0.0361,1.0185,2026-09-03T12:33:02.020552+00:00
1.063497,173328866,0.0246,-0.0342,1.0158,2026-09-03T12:33:02.024961+00:00
1.067855,173333224,0.0237,-0.0342,1.0175,2026-09-03T12:33:02.029457+00:00
